Designator,Mid X,Mid Y,Rotation,Layer
C1,109.45,-71.0,0.0,bottom
C2,94.0,-115.05,270.0,bottom
C5,105.0,-124.0,90.0,top
C6,107.25,-124.0,90.0,top
CBOOT1,94.530001,-99.099999,0.0,bottom
CIN1,99.800001,-94.424998,90.0,bottom
CIN2,101.550001,-94.424998,90.0,bottom
CIN3,103.300001,-94.424999,90.0,bottom
CINX1,97.950003,-94.424998,90.0,bottom
COUT1,90.050001,-102.15,90.0,bottom
COUT2,92.550001,-102.15,90.0,bottom
FAN1,86.5,-70.5,180.0,bottom
FAN2,95.25,-70.5,180.0,bottom
I2C_HEADER1,87.81,-109.0,270.0,bottom
J1,104.94,-109.0,270.0,bottom
J2,113.633,-115.628,80.0,top
J6,108.6,-98.15,180.0,top
L1,103.6375,-82.0,270.0,bottom
L3,99.0,-102.0,270.0,bottom
LIGHTS1,85.5,-81.25,270.0,bottom
MISTER1,103.5,-70.0,180.0,bottom
PS1,101.5,-81.25,270.0,top
Q1,90.7,-77.1125,270.0,bottom
Q3,113.0,-78.3875,270.0,bottom
R1,105.5,-119.25,0.0,top
R10,94.3375,-105.75,0.0,top
R11,105.5,-115.5,180.0,top
R12,83.0,-121.0875,90.0,top
R15,86.5,-105.3375,270.0,top
R2,94.25,-78.25,180.0,bottom
R3,99.9125,-120.25,180.0,bottom
R4,89.0,-105.3375,270.0,top
R5,114.75,-83.0,270.0,bottom
R6,113.0,-83.0,90.0,bottom
R7,96.4125,-120.25,180.0,bottom
R8,107.85,-89.825,0.0,top
R9,105.4125,-121.5,180.0,top
RESET1,97.125,-100.0,270.0,top
RFBB1,91.0,-95.575,270.0,bottom
RFBT1,89.25,-95.575,90.0,bottom
STATUS_LED1,105.4375,-117.5,180.0,top
U2,93.75,-119.0,180.0,top
U5,97.865,-115.275,0.0,bottom
U6,94.662501,-96.379999,0.0,bottom
